Grade	Teacher	Name	Choice 1	Choice 2	Choice 3	Choice 4	Choice 5	Override 1	Override 2	Note
3	Eckel	Baxter, Retta	3	9	12	14	18			
3	Eckel	Ciampa, Norah	1	13	11	8				
3	Eckel	Ahrens, Adena	1	5	14	13	12			
3	Eckel	Cooter, Danial	9	12	14	3	5			
3	Sandusky	Reina, Russel	14	1	9	5	10			
3	Sandusky	Guse, Linda	1	5	12	14	18			
3	Sandusky	Alling, Raymond	12	14	1	17	11			
3	Sandusky	Rasheed, Mariela	1	5	9	16	15			
3	Sandusky	Rish, Shanda	8	10	18	1	12			
3	Sandusky	Horace, Tessa	9	16	14	10	2			
3	Sandusky	Sanger, Darell	14	9	5	1	18			
3	Sandusky	Corpuz, Toni	14	1	5	9	15			
3	Sandusky	Horton, Francisco	8	9	4	16	3			
3	Sandusky	Saffold, Noma	12	18	14	3	9			
3	Sandusky	Sarles, Lilliam	9	14	1	17	18			
3	Sandusky	Cavitt, Paulita	12	14	9	1	13			
3	Sandusky	Whitsitt, Dreama	11	1	6	2	15			
3	Sandusky	Frechette, Latrisha	11	1	15	6	2			
3	Sandusky	Thiele, Dona	1	18	10	6	14			
3	Sandusky	Chaisson, Juliann	11	6	14	13	15			
3	Sandusky	Podesta, Ermelinda	1	14	8	9	12			
3	Sandusky	Walford, Deandrea	14	7	5	1	9			
3	Sandusky	Bayles, Noella	9	14	1	17	18			
3	Sandusky	Grantham, Dorie	1	2	16	6	8			
3	Mirabal	Beeman, Tyler	5	3	6	12	1			
3	Mirabal	Alber, Edythe	5	6	3	12	1			
3	Mirabal	Baley, Robbi	1	4	5	6	18			
3	Mirabal	Capshaw, Giovanna	1	4	3	12	6			
3	Mirabal	Sandberg, Renna	6	7	8	9	10			
3	Mirabal	Presgraves, Tamela	1	10	3	5	4			
3	Mirabal	Wilkie, Marcene	1	10	12	4	5			
3	Mirabal	Proctor, Ona	3	4	9	17	10			
3	Mirabal	Vogler, Natividad	1	4	5	10	12			
3	Mirabal	Guiney, Charlette	1	4	6	10	16			
3	Mirabal	Onan, Winona	6	7	8	9	10			
3	Mirabal	Fast, Flossie	1	3	5	10	4			
3	Mirabal	Crowell, Naomi	1	3	5	10	4			
3	Mirabal	Hashimoto, Mai	6	9	3	10	16			
3	Mirabal	Barrientez, Queenie	1	4	3	12	6			
3	Mirabal	Holter, Rosella	1	10	8	12	5			
3	Mirabal	Guitierrez, Sandi	3	1	4	5	12			
3	Mirabal	Arango, Waltraud	9	16	6	10	4			
3	Mirabal	Deschenes, Leia	9	16	6	10	4			
3	Mirabal	Heras, Grover	1	5	7	8	11			
3	Echeverria	Dery, Shantel	6	5	15	17	1			
3	Echeverria	Haviland, Ria	15	11	1	5	6			
3	Echeverria	Hotaling, Shari	1	6	18	12	16			
3	Echeverria	Pisani, Mickie	14	12	1	6	9			
3	Echeverria	Rue, Tandra	6	5	11	15	1			
3	Echeverria	Reinoso, Jerilyn	12	15	1	7	11			
3	Echeverria	Shryock, Cristina	14	12	11	4	1			
3	Echeverria	Amerine, Jamika	14	4	7	5	9			
3	Echeverria	Likens, Jenise	6	13	4	16	17			
3	Echeverria	Lamas, Giuseppina	10	14	12	9	7			
3	Echeverria	Reid, Delilah	14	4	7	5	9			
3	Echeverria	Mccaleb, Peg	16	1	14	9	15			
3	Echeverria	Farabee, Almeta	12	9	10	14	1			
3	Echeverria	Verge, Penni	8	12	16	1	13			
3	Echeverria	Marchand, Reatha	6	3	9	11	16			
3	Echeverria	Tobar, Mikaela	5	6	11	15	1			
3	Echeverria	Bently, Ja	10	14	12	9	7			
3	Echeverria	Balding, Kari	6	1	5	15	7			
3	Echeverria	Schaub, Carley	6	1	3	9	12			
3	Echeverria	Leber, Margarito	9	13	10	15	5			
3	Echeverria	Guillory, Bernarda	16	1	14	9	15			
3	Broady	Schloss, Penney								
3	Broady	Blomberg, Johnette	2	3	4	5	7			
3	Broady	Tipps, Halina	13	14	1	4	17			
3	Broady	Finlay, Gabriella	1	13	17	3	4			
3	Broady	Reuther, Laraine	1	5	6					
3	Broady	Bernat, Luke	5	9	16	3	1			
3	Broady	Mehl, Boyd	1	2	3	4	5			
3	Broady	Carswell, Nova	1	5	6	3	4			
3	Broady	Meyerhoff, Tiana	1	2	4	14	7			
3	Broady	Mcgarrah, Timothy	7	14	16	17	1			
3	Broady	Belli, Jackqueline	14	15	16	2	4			
3	Broady	London, Larraine	1	5	10	12	17			
3	Broady	Rempe, Jules	1	5	12	13	16			
3	Broady	Carrozza, Blanche	1	14	7	4	18			
3	Broady	Golub, Cameron	9	12	10	3	6			
3	Broady	Buchholz, Destiny	9	14	1	10				
3	Broady	Laino, Savanna	3	4	7	11	16			
3	Broady	Cabell, Layla	4	6	9	12	10			
3	Broady	Bobadilla, Hilde	14	16	17	1	7			
3	Broady	Lucca, Jacquline	6	5	12	15	1			
4	Prigge	Brazan, Donetta	12	1	14	7	2			
4	Prigge	Joiner, Noelle	9	14	3	5	16			
4	Prigge	Gilbertson, Kristen	12	1	10	8	4			
4	Prigge	Melendez, Douglass	14	12	11	1	4			
4	Prigge	Baggett, Rafaela	1	9	11	14	5			
4	Prigge	Russo, Eugenio	12	1	10	8	4			
4	Prigge	Friedt, Tressa	1	5	7	9	14			
4	Prigge	Feth, Shery	1	3	7	16	17			
4	Prigge	Mattern, Nannie	1	7	16	14	18			
4	Prigge	King, Sharen	12	1	14	7	2			
4	Prigge	Kight, Epifania	17	14	12	9	16			
4	Prigge	Dunker, Eddie	12	8	1	18	9			
4	Prigge	Osterman, Emmett	14	4	17	1	15			
4	Prigge	Schnitzer, Sherryl	5	9	4	2	16			
4	Prigge	Kinlaw, Jeannetta	5	1	16	17	2			
4	Prigge	Secrist, Elicia	14	12	3	7	8			
4	Prigge	Guerrero, Stasia	14	2	16	18	17			
4	Prigge	Register, Laree	9	14	3	5	16			
4	Prigge	Fretwell, Kristina	1	5	17	4	13			
4	Prigge	Armbruster, Reynaldo	1	5	3	4	13			
4	Prigge	Murtagh, Tajuana	5	1	3	14	16			
4	Delapena	Penfield, Jeniffer	9	14	7	12	1			
4	Delapena	Frizzell, Emerson	3	14	5	7	9			
4	Delapena	Chace, Pamela	1	6	8	15	16			
4	Delapena	Welter, Iva	16	14	6	5	1			
4	Delapena	Hepfer, Emmaline	1	5	7	10	4			
4	Delapena	Mosteller, Rosina	10	5	1	13	4			
4	Delapena	Creek, August	2	1	5	12	14			
4	Delapena	Keitt, Larry	3	14	5	7	10			
4	Delapena	Letsinger, Antony	8	10	14	16	1			
4	Delapena	Harren, Minerva	7	1	15	2	5			
4	Delapena	Beams, Verlene	5	2	3	4	7			
4	Delapena	Pigman, Ken	9	14	3	12	1			
4	Delapena	Mungia, Marietta	9	14	7	12	1			
4	Delapena	Dunphy, Quinn	1	8	15	16	6			
4	Delapena	Shamblin, Neva	1	2	10	16	5			
4	Delapena	Sokolowski, Rubye	1	16	7	5	17			
4	Delapena	Toft, Filiberto	1	2	10	16	5			
4	Delapena	Cabello, Lovie	16	14	1	7	5			
4	Delapena	Aultman, Ute	1	6	8	15	16			
4	Pfaff	Brayton, Meghann	14	5	3	1	16			
4	Pfaff	Herford, Isobel	1	9	10	14				
4	Pfaff	Harwood, Alane	3	5	8	10	12			
4	Pfaff	Narciso, Dorine	4	3	9	10	7			
4	Pfaff	Milholland, Hoa	3	6	12	15	16			
4	Pfaff	Lash, Anna	1	5	9	15	12			
4	Pfaff	Claude, Valarie	12	5	6	7	1			
4	Pfaff	Lunsford, Sunni	5	11	13	1				
4	Pfaff	Pineo, Karma	6	1	2	5	17			
4	Pfaff	Gentner, Yahaira	10	5	7	1	9			
4	Pfaff	Hamblen, Remedios	5	14	15	17	2			
4	Pfaff	Dorazio, Melynda	15	14	18	2	3			
4	Pfaff	Krieg, Griselda	1	5	3	4	7			
4	Pfaff	Hyler, Kimberlie	1	2	13	5	3			
4	Pfaff	Blye, Haley	4	3	9	10	7			
4	Pfaff	Commander, Clair	1	10	9	16				
4	Pfaff	Mace, Vanessa	9	12	15	1	3			
4	Pfaff	Cudd, Elke	1	12	5	15	9			
4	Pfaff	Buzzard, Traci	1	9	5	2	6			
4	Pfaff	Eoff, Lanny	14	4	5	1	16			
4	Abramson	Cordle, Bree	10	8	11	12	14			
4	Abramson	Googe, Charlie	1	3	4	9	14			
4	Abramson	Worthen, Tamala	1	13	14	10	6			
4	Abramson	Farina, Garrett	1	16	12	8	5			
4	Abramson	Evan, Micha	1	16	6	5	14			
4	Abramson	Koontz, Mozella	1	3	4	9	14			
4	Abramson	Rowser, Louie	10	9	12	8	11			
4	Abramson	Dennett, Leta	5	6	7	10	12			
4	Abramson	Mcnabb, Lara	1	3	7	10	13			
4	Abramson	Kimbrel, Rodney	1	3	4	5	10			
4	Abramson	Krahn, Hilary	1	10	6	11	8			
4	Abramson	Bergin, Sal	1	8	6	12	3			
4	Abramson	Shur, Tessa	3	7	10	16	12			
4	Abramson	Turner, Liane	15	11	8	7	4			
4	Abramson	Barragan, Laurine	14	1	12	8	5			
4	Abramson	Kingsberry, Sierra	7	14	16	3	9			
4	Abramson	Darrigo, Franklin	14	3	5	7	4			
4	Abramson	Evers, Nieves	1	10	6	16	13			
4	Abramson	Blizzard, Charmaine	12	3	5	8	1			
4	Abramson	Oldham, Eduardo	1	5	7	16	12			
4	Abramson	Kauffman, Kathi	1	14	4	5	6			
4	Abramson	Bermejo, Bula	1	6	7	8	14			
4	Brumbaugh	Saunders, Mitsuko	1	2	3	4	5			
4	Brumbaugh	Stecker, Janey	1	3	4	7	14			
4	Brumbaugh	Cazarez, Cythia	14	7	11	8	9			
4	Brumbaugh	Clare, Laurena	5	1	12	14	13			
4	Brumbaugh	Wilmeth, Myrna	5	1	8	7	4			
4	Brumbaugh	Rosato, Reyes	12	3	14	1	7			
4	Brumbaugh	Merlo, Hyacinth	3	1	2	5	7			
4	Brumbaugh	Purdie, Kourtney	14	18	10	7	5			
4	Brumbaugh	Rando, Nereida	1	2	3	4	5			
4	Brumbaugh	Knauss, Arianna	14	10	7	5	15			
4	Brumbaugh	Maysonet, Marlo	1	5	3	12	14			
4	Brumbaugh	Krohn, Cheree	9	1	14	6	5			
4	Brumbaugh	Goe, Junita	12	8	3	1	5			
4	Brumbaugh	Ingwersen, Neida	12	9	3	8	14			
4	Brumbaugh	Mccandless, Joycelyn	6	5	12	15				
4	Brumbaugh	Sakata, Karol	3	9	5					
4	Brumbaugh	Sorg, Hilary	12	6	1	7	2			
4	Brumbaugh	Lucious, Bernadine	14	1	5	11	3			
4	Brumbaugh	Steinhoff, Oralee	1	5	7	16				
4	Brumbaugh	Strang, Kisha	1	5	7	12	16			
4	Brumbaugh	Mcquinn, Darren	14	1	5	11	6			
4	Seyal	Beeler, Hellen	1	18	13	14	7			
4	Seyal	Riemann, Yaeko	1	14	5	16	11			
4	Seyal	Overlock, Grover	1	5	14	10	16			
4	Seyal	Kinman, Vina								
4	Seyal	Pye, Elmer	8	14	9	2	3			
4	Seyal	Haverly, Blanche	7	14	9	10	12			
4	Seyal	Postma, So	5	14	1	7	9			
4	Seyal	Milling, Angeline	1	5	12	15	9			
4	Seyal	Barbosa, Cathi	1	5	7	9	14			
4	Seyal	Pinkston, Sharilyn	3	9	12	14	11			
4	Seyal	Modica, Randi	14	12	9	6	3			
4	Seyal	Terrell, Kimberley	1	5	6	14	13			
4	Seyal	Malbrough, Helene	3	10	13	12	18			
4	Seyal	Eckhardt, Tillie	14	12	9	6	3			
4	Seyal	Carn, Gregoria	3	9	14	12	6			
4	Seyal	Jalbert, Joana	16	17	14	5	7			
4	Seyal	Blakley, Adolfo	1	2	3	4	5			
4	Seyal	Frantz, Asuncion	10	1	11	12	13			
4	Seyal	Fulbright, Christinia	1	14	10	12	9			
4	Seyal	Bomar, Elvia	3	9	14	12	6			
4	Seyal	Mena, Markus	5	14	1	7	9			
4	Seyal	Prado, Kimi	9	14	16	7	12			
4	Schiel	Lovette, Wilhemina	1	2	5	4	3			
4	Schiel	Shenk, Pauletta	3	4	10	9	12			
4	Schiel	Houlihan, Kirstin	1	2	3	5	14			
4	Schiel	Warthen, Aletha	1	4	5	6	15			
4	Schiel	Gragg, Lilian	1	16	12	5	13			
4	Schiel	Porath, Pura	5	1	3	14	2			
4	Schiel	Grazier, Elli	3	4	5	12	16			
4	Schiel	Kopecky, Phil	1	5	3	6	10			
4	Schiel	Annunziata, Herb	5	9	1	3	14			
4	Schiel	Tillinghast, Oma	14	3	7	2	12			
4	Schiel	Kwok, Madelyn	14	1	5	11	17			
4	Schiel	Villescas, Hong	4	5	11	14	1			
4	Schiel	Spengler, Alaina	1	5	6	3	10			
4	Schiel	Mcmahan, Celena	12	5	6	3	1			
4	Schiel	Leavitt, Derek	10	11	14	4	5			
4	Schiel	Mahmood, Chrystal	10	11	14	4	5			
4	Schiel	Zeledon, Sharla	1	14	16	8	11			
4	Schiel	Boley, Lizette	9	1	14	16	12			
4	Schiel	Granados, Annmarie	4	1	14	7	3			
4	Schiel	Vangilder, Jayson	1	4	5	15	12			
4	Schiel	Dimmitt, Kerry	14	3	7	2	12			
4	Schiel	Gantz, Abby	1	14	8	11	16			
4	Wenz	Gartman, Han	1	7	5	14	8			
4	Wenz	Barkman, Amalia	14	7	1	2	3			
4	Wenz	Wise, Margy	14	1	7	8	11			
4	Wenz	Lohmann, Rene	1	2	6	14	15			
4	Wenz	Laursen, Philomena	14	8	15	13	7			
4	Wenz	Sherman, Vernie	1	16	17	2	11			
4	Wenz	Arrellano, Stephnie	14	5	3	9	7			
4	Wenz	Pareja, Heike	6	1	16	14	11			
4	Wenz	Seidel, Barton	7	14	4	12	18			
4	Wenz	Reasoner, Rena	1	7	12	14	17			
4	Wenz	Trepanier, Chase	16	7	11	8	14			
4	Wenz	Frazer, Lamonica	16	7	11	8	1			
4	Wenz	Momon, Leroy	9	3	16	18	2			
4	Wenz	Vanetten, Mauricio	1	2	3	13	6			
4	Wenz	Miller, Vanita	9	3	16	18	2			
4	Wenz	Comacho, Roxann	1	14	17	3	5			
4	Wenz	Claus, Maricela	14	10	1	5	4			
4	Wenz	Hawker, Alexandria	1	3	6	5	2			
4	Wenz	Liang, Damian	1	2	6	14	15			
4	Wenz	Carvalho, Trista	14	7	8	5	6			
4	Wenz	Heck, Louetta	1	2	6	14	15			
4	Wenz	Ott, Lorita	7	4	8	14	12			
